,name,0,1,2,3,4
0,Chemical Financial,CHEMICAL FINANCIAL CORPORATION,BNH FINANCIAL,EAGLE FINANCIAL CORP.,COMMERCIAL FINANCIAL CORP.,"EXCHANGE FINANCIAL, INC."
1,First Merchants,FIRST MERCHANTS CORPORATION,FIRST FARMERS AND MERCHANTS CORPORATION,FARMERS & MERCHANTS BANCORP,"FARMERS & MERCHANTS AGENCY, INC.","FARMERS & MERCHANTS BANCORP, INC."
2,Plaza Bank,"PLAZA AGENCY, INC.",SOLVAY BANK CORP.,PLUMAS BANCORP,HAZARD BANCORP,"ESPUELA BANK SHARES, INC."
3,Cathay Gen Bancorp,CATHAY GENERAL BANCORP,PATHWAY BANCORP,CNB BANCORP,"COASTWAY BANCORP, INC",SAN BANCORP.
4,Unitedmmunity Banks,"UNITED COMMUNITY BANKS, INC.",BRIDGE COMMUNITY BANK ESOP,COMMUNITY BANCORP,COMMUNITY BANK CORP.,"COMMUNITY BANKSHARES, INC."
5,Farmers National Banc,FARMERS NATIONAL BANC CORP.,"FARMERS NATIONAL BANCSHARES, INC.",FIRST NATIONAL BANCORP,FIRST NATIONAL BANK CORP.,"MARS NATIONAL BANCORP, INC."
6,Ameris Bancorp,AMERIS BANCORP,AMERIANA BANCORP,AMBANCORP,"USAMERIBANCORP, INC.","AMERICAN BANCORP, INC."
7,Sunshine Bancorp,SIDNEY BANCORP,SUSSEX BANCORP,"SUNSET BANCORP, INC.",SAN BANCORP.,CU BANCORP
8,Horizon Bancorp,HORIZON BANCORP,"HORIZON BANCORP, INC.",BOR BANCORP,BRIGHTON BANCORP,BNC BANCORP
9,Wintrust Financial,WINTRUST FINANCIAL CORPORATION,WOODTRUST FINANCIAL CORP,INTRUST FINANCIAL CORPORATION,FIRST TRUST FINANCIAL CORP.,"KRAUSE FINANCIAL, INC."
10,PacWest Bancorp,PACWEST BANCORP,CALWEST BANCORP,ALL WEST BANCORP,COAST BANCORP,CU BANCORP
11,WSFS Financial,"WSB FINANCIAL, LTD",FSB FINANCIAL CORP,WVS FINANCIAL CORP.,"FTS FINANCIAL, INC.","GLAASS FINANCIAL, LLC"
12,Howard Bancorp,"HOWARD BANCORP, INC.",HAZARD BANCORP,ORCHARD BANCORP.,BOR BANCORP,WAYTRU BANCORP
13,Western Alliance Bancorp,WESTERN ALLIANCE BANCORPORATION,ALLIANCE BANCORP,"WESTERN ARIZONA BANCORP, INC.",ALL WEST BANCORP,SAN BANCORP.
14,Veritex Holdings,"VERITEX HOLDINGS, INC.","STEELE HOLDINGS, INC.","OTTEN HOLDINGS, LLC","RAM SECURITY HOLDINGS GP, INC.","PIPER HOLDINGS, INC."
15,Carolina Alliance Bank,ALLIANCE BANCORP,"ALLIANCE BANCSHARES, INC.","FIRST ALLIANCE BANCSHARES, INC.","INDEPENDENT ALLIANCE BANKS, INC.","ALLEGIANCE BANCSHARES, INC."
16,Seacoast Bankg of Florida,STATE BANK OF INDIA,"COMMUNITY BANK OF SOUTH FLORIDA, INC.","BRANNEN BANKS OF FLORIDA, INC.",COAST BANCORP,"BANK OF NOVA SCOTIA, THE"
17,First Interstate BancSystem In,"FIRST INTERSTATE BANCSYSTEM, INC.","FIRST STATE BANCSHARES, INC.","FIRST INTERNATIONAL BANCSHARES, INC.","FIRST NEBRASKA BANCS, INC.","FIRST STATE BANCORP, INC."
18,Wintrust Financial,WINTRUST FINANCIAL CORPORATION,WOODTRUST FINANCIAL CORP,INTRUST FINANCIAL CORPORATION,FIRST TRUST FINANCIAL CORP.,"KRAUSE FINANCIAL, INC."
19,Camden National,CAMDEN NATIONAL CORPORATION,AMG NATIONAL CORP.,AMES NATIONAL CORPORATION,FARMERS NATIONAL BANC CORP.,DELTA NATIONAL BANCORP
20,Delmarva Bancshares,"DELMARVA BANCSHARES, INC.","DENMARK BANCSHARES, INC.","DELAWARE BANCSHARES, INC.",DELMAR BANCORP,"DECATUR BANCSHARES, INC"
21,First Finl Bankshares,"FIRST FINANCIAL BANKSHARES, INC.","FIRST BANKSHARES, INC.","FIRST GILMER BANKSHARES, INC.",FIRST BANCSHARES INC.,"FIRST BANCSHARES, INC."
22,Wintrust Financial,WINTRUST FINANCIAL CORPORATION,WOODTRUST FINANCIAL CORP,INTRUST FINANCIAL CORPORATION,FIRST TRUST FINANCIAL CORP.,"KRAUSE FINANCIAL, INC."
23,Pinnacle Financial Partners,"PINNACLE FINANCIAL PARTNERS, INC.",PINNACLE FINANCIAL CORPORATION,"OCEANPOINT FINANCIAL PARTNERS, MHC","FIRST COMMUNITY FINANCIAL PARTNERS, INC.",BAC FINANCIAL INC.
24,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.",BNH FINANCIAL,HEARTLAND BANCCORP,"OAKLAND FINANCIAL SERVICES, INC."
25,Hamilton Bancorp,"MILTON BANCORP, INC.",MISSION BANCORP,WASHINGTON BANCORP,MNB BANCORP,BRIGHTON BANCORP
26,CenterState Banks,"CENTERSTATE BANKS, INC.","ROCHESTER STATE BANKSHARES, INC.",STATE BANK CORP.,"CENTRAL-STATE BANCORP, INC.",CENTRAL STATE BANCORPORATION
27,Unitedmmunity Banks,"UNITED COMMUNITY BANKS, INC.",BRIDGE COMMUNITY BANK ESOP,COMMUNITY BANCORP,COMMUNITY BANK CORP.,"COMMUNITY BANKSHARES, INC."
